,resume,work_exp,edu,univ,education_json
0,https://resumes.indeed.com/resume/242a02a235b9b282,"[u'Finance Coordinator / Payroll Manager\nHard Rock International - Las Vegas, NV\nJuly 2016 to Present\nHR and Payroll Manager, I-9 verification, payroll for 300+ employees, FMLA, new hire orientation, Terms, A/P, A/R, budgets and responsible for employee files.', u'Finance Assistant\nGraybar Electric Company, Inc. - Las Vegas, NV\nMay 2014 to June 2016\nResponsibilities\nA/R, A/P, maintain DSO, credit and collections. Set up new and job accounts. Apply payments, make deposits, assist customers with their accounts. Lien releases, Prelien jobs and lien if needed.\n\nAccomplishments\nDecreased the DSO.', u'Finance Assistant\nMargaritaville - Las Vegas, NV\nMay 2005 to May 2014\nAccount Recs, EOM close, A/P, A/R, payroll entries, FMLA tracking, I9 verification, and HR duties']","[u""Bachelor's in Accounting"", u'HS diploma']","[u'Colorado Christian University Colorado Springs, CO\nAugust 2014 to March 2019', u'Ambassador High School Fontana, CA\nSeptember 1995 to June 2000']","degree_1 : ""Bachelors in Acconting"", degree_2 :  HS diploma"
0,https://resumes.indeed.com/resume/cf57c26dfd8c9982,"[u""Sales Manager/Finance Manager\nJanuary 2009 to January 2017\nThe sales desk manager meets sales goals, negotiates with the customers, sells to customer needs, motivates the sales department, sales planning, building relationships, coaching, managing processes, market knowledge, and staffing.\n\n\u2666 The position establishes and grows the dealership's client base and gross profit in order to grow and support sales goals.\n\nEssential functions of the position:\n\u2666 Determines monthly unit and gross-profit plans by implementing sales desk strategies;\nanalyzing trends and results\n\n\u2666 Establishes sales objectives by forecasting and developing, with general sales manager and general manager, monthly and annual sales quotas for sales department; projecting expected sales volume and profit for existing and new products, consultative support with sales team and facilitation\n\n\u2666 Sales desk-to-F&I department joint goals and partnership\n\n\u2666 Embrace and foster sales coaching culture\n\n\u2666 Grow sales volume, product mix, and selling price by keeping current with supply and demand, changing trends, economic indicators, and competitors\n\n\u2666 Develop and execute the general manager and general sales manager's sales action plan, including prioritizing dealer contact activity with salespeople within the database\n\nSecondary functions of the position:\n\u2666 Demonstrated sales expertise\n\n\u2666 Demonstrated operational ability\n\n\u2666 Highly proficient with administrative and technical responsibilities\n\n\u2666 Demonstrated dealership service and sales support professional aptitude\n\n\u2666 Excellent organizational, interpersonal, and business system experience\n\n\u2666 Excellent communication skills""]",[],[],degree_1 : 
0,https://resumes.indeed.com/resume/d9ac40f2eef6093b,"[u'Sales Manager/Finance Manager\nOntario Auto Ranch - Ontario, OR\nJune 2017 to Present\nOversee all sales and finance department. Protect the well being of the dealerships financials. Set and maintain goals throughout the year. Train and qualify sales department. Average over $2,000 pvr every month', u'Finance Manager\nDennis Dillon RV - Boise, ID\nFebruary 2016 to June 2017\nOversee finance department. Make sure all deals are funded and cleaned. Protect the wellbeing of the dealership.']",[u'Diploma'],[u''],degree_1 : Diploma
0,https://resumes.indeed.com/resume/86625d1c7985565a,"[u'Sales Manager/Finance Manager\nBergen County Auto Group - Teterboro, NJ\nSeptember 2016 to Present\nHandled day to day operations for 3 locations.\n\u25cf Handled all appraisals and wholesale transactions\n\u25cf Handled advertising campaigns and oversaw Google reviews\n\u25cf Created sales and compliance processes to turn wholesale lots into retail driven lots.\n\u25cf Brought in Vanguard Dealer Services to make finance departments full service and implement menu selling.\n\u25cf Handled all special finance deals.', u'Finance Manager\nAll American Ford - Kingston, NY\nMarch 2014 to July 2016\nStore had 17 CIT when I arrived had all deals funded within 7 business days.\n\u25cf Average days to fund was 14 when I arrived, less than 48 hrs to fund when I left.\n\u25cf Opened store on Sundays as sales/finance manager which resulted in an average increase of 8 deliveries per month.\n\u25cf Trained sales staff on road to sale.\n\u25cf Billed and performed DMV paperwork for all deliveries\n\u25cf Ensured maximum floorplan repayment by exceeding penetration goals.', u'Finance Manager\nDestination Kia - Albany, NY\nAugust 2011 to March 2014\nMaintained 100% CSI.\n\u25cf Delivered 262 deals in one month.\n\u25cf Billed deals when necessary due to high volume of sales.\n\u25cf Consistently delivered over 150 deals per month', u'Finance Manager\nDePaula Chevrolet - Albany, NY\nNovember 2009 to August 2011\nSpecialized in subprime lending adding 10-15 deals a month that previously would not of got bought.\n\u25cf Was able to package good/bad credit deals with full spectrum banks.\n\u25cf Consistently was over $1300 a copy.\n\u25cf Expanded commercial lending by taking advantage of all programs made available by banks.\n\u25cf Solidified relationship with Ally Bank by using third party gaurantuity to get deals bought that were formally being turned down.', u'Finance Manager\nNorthway Toyota - Latham, NY\nDecember 2006 to November 2009\nProduct knowledge manager, responsible for educating sales staff.\n\u25cf Created the subprime lending department by bringing in Credit Acceptance.\n\u25cf Closed out an entire pool with Credit Acceptance in less than one year.\n\u25cf Created recon processes in service department to ensure owning cars correctly.\n\u25cf Functioned as senior finance manager, responsible for reviewing all deals.', u'Finance Manager\nLia Nissan - Schenectady, NY\nDecember 2005 to December 2006\nIntroduced to interfacing with DMS systems.\n\u25cf Became familiar with deal structure and LTV.\n\u25cf Mastered menu selling.\n\u25cf Learned how to read credit reports to choose best lenders for customer to maximize profits.']",[],[],degree_1 : 
0,https://resumes.indeed.com/resume/f4e1995aa0b5fc4e,"[u'Finance Director\nHodges Mazda at the Avenues\nMarch 2016 to May 2016\nfor Hodges Mazda at the Avenues\n\u2022 Constructed and taught 15 sales associates daily\n\u2022 Led management meetings every Friday morning\n\u2022 Analyzed and developed strategies for the dealership to improve and operate', u'sales and finance\nGreen Cove Auto Sales\nSeptember 2015 to March 2016\nSeptember 2015- March 2016\n\u2022 Developed the ability to communicate with banks for financing deals\n\u2022 Structured finance deals for over 100 clients\n\u2022 Adapted to the structure of combining sales and finance processes\n\u2022 Managed the finance department and trained 2 employees in the finance process\n\u2022 Headed the training department to develop skills in sales and finance', u'Sales/Finance Manager\nGreen Cove Auto Sales\nSeptember 2015 to October 2015\n\u2022 Awarded top salesman among a group of 25\n\u2022 Experienced on the sales process\n\u2022 Displayed the ability to solidify and close a deal\n\u2022 Organized weekly meetings for 10 employees\n\u2022 Collaborating to improve the workplace by enacting plans to inter-office climate and communication']","[u'', u'A.A. in Interdisciplinary Studies in Interdisciplinary Studies']","[u'Jacksonville University Jacksonville, FL\nJanuary 2012 to January 2015', u'Fullerton College\nJanuary 2010 to January 2012']","degree_1 : , degree_2 :  A.A. in Interdisciplinary Stdies in Interdisciplinary Stdies"
0,https://resumes.indeed.com/resume/6910b6ceee200b16,"[u'Global Sales and Finance\nNational City, CA\nFebruary 2016 to November 2017\nOffice Manager/ Finance Assistant\n\u2022 Responsible for the accounting, monitoring all our vehicle inventory. Updated all transactions with vendors.\n\u2022 Reconciled bank accounts and correcting our accounting data, billings, deposits and dealer collections.\n\u2022 Supervised the flow of the office and paperwork with the Finance Department, maintaining a high level of courteous customer service, manage telephones and relaying messages.', u""Office Manager/ Finance Assistant\nJay's Motorsports Inc - National City, CA\nJune 2011 to February 2017\n\u2022 Analyzed accounts to discover discrepancies and resolve all variances promptly.\n\u2022 Increased operational efficiency and company's profitability by timely and accurately posting payments from multiple lenders and customers\n\u2022 Provided customers with appropriate information of sales contracts and finance information and full specification of aftermarket products, extended warranties. Explained dealer and manufacturer service procedures and policies."", u""Finance Assistant\nJay's Motorsports Inc - El Cajon, CA\nFebruary 2015 to February 2016\n\u2022 Bookkeeping, operational tasks updating and preparing reports for vehicle maintenance.\n\u2022 Collected titles information from deferent banks, maintain diary system using shared electronic diary on Microsoft Outlook Kept inventory status log updated Kept record of titles, payment and recon on each vehicle.\n\u2022 Sought out new lenders and maintaining good working relationships to secure rates and financing program for customers. Packaging deals to lender. Securing approval through financial sources.\nSERVED | U.S. MARINE CORPS, Miramar CA.\nAircraft Mechanic/ Admin\n\nPROFESSIONAL REFENCES\nJesse Hughes\nJay's Motorsports Inc.\n\nBusiness Owner.\n619-341-4685\n\njhugheshm@gmail.com\n\nScott Clark\nTeam Kia Of El Cajon\nGeneral Manger\n619-576-1748\n\nscottclark@gmail.com\n\nJacquelyn Owens\nDefense Logistics Agency\nContract Specialist\n619-852-2313\n\njacquelynowens@gmail.com\n\nJermaine Ruiz\nU.S Postal\nPost office Manager\n\n619-252-2099\n\njermaineruiz@gmail.com\n\nCell: 619-764-0613\nEmail: nmelendez84@gmail.com""]",[u'High school or equivalent'],[u''],degree_1 : High school or eqivalent
0,https://resumes.indeed.com/resume/65f9b04ff7bea6de,"[u'Senior Finance Manager\nRicoh America USA - Duluth, GA\nMarch 2004 to September 2017\nPrepared annual operating plans by marketplace and monthly financial forecasts as required. Created and delivered quarterly and annual business performance reviews to Executive Management. Responsible for month-end reporting presentations including Key Performance Indicators. Conducted financial evaluations of proposed capital investments by gathering assumptions, making financial projections, and creating market level business cases. Main liaison between Finance and Marketing functions.']","[u""Bachelor's in Accounting""]","[u'Pennsylvania State University-Main Campus University Park, PA\nSeptember 1989 to August 1993']","degree_1 : ""Bachelors in Acconting"""
0,https://resumes.indeed.com/resume/84ff6ed3e6c799e9,"[u'WEST COUNTY BMW / WEST COUNTY NISSAN - Ellisville, MO\nJanuary 2009 to January 2009\n2009\xd02011\nLOU FUSZ AUTOMOTIVE NETWORK, St. Louis, MO 2004\xd02009', u'MOORE AUTOMOTIVE GROUP - Ellisville, MO\nJanuary 1998 to January 1998\n1998\xd02004', u'KRIBS FORD INC - St. Louis, MO\nJanuary 1996 to January 1996\n1996\xd01998', u'Business / Finance Manager\nSEEGER TOYOTA - Creve Coeur, MO\nJanuary 1993 to January 1993\nDeveloped content for print ads promoting leasing and financing programs. Sourced lending partners and negotiated financing deals. Developed and maintained outstanding relationships with lenders and customers; directed qualified buyers to sales representatives.\n\n+ Business Development\n\n> Secured a portfolio of lenders accommodating various lending and credit history scenarios for start-up automotive dealer (West County Nissan). Worked behind the scenes to help establish operations.\n\n> Delivered $1.5 million per annum financing profit for West County Nissan within 12 months of start-up.\n\n> Implemented team hiring concept that improved hiring outcomes by fully engaging department managers in the hiring process. Identified high-potential sales candidates and educated the sales team on strategies and tactics for enhancing profitability (Lou Fusz Automotive Network).\n\n> Designed financial training program for managers; delivered training on basic techniques related to productivity, profitability and customer satisfaction (Kribs Ford).\n\n> Established secondary finance department (Seeger Toyota).\n\n+ Profit Improvement\n\n> Consistently outperformed ?30 Finance Managers in 15 dealerships in financing and insurance productivity. Earned \xd2Top Dog\xd3 recognition for finance performance every month (Lou Fusz).\n\n> Earned Daimler-Chrysler Business Manager Association \xd2Gold-Level\xd3 Awards recognizing \xd2Top 3%\xd3 performance of thousands nationwide, 4 consecutive years, 1999\xd02002 (Moore).\n\n> Trained secondary finance manager, pushing profits up 30-40% to historical levels (Moore).\n\n> Achieved more than 20% revenue growth and the highest profits in 3 years by securing new lending sources (Kribs).\n\n+ Customer Satisfaction\n\n> Played an instrumental role in winning referrals, repeat business and multi-vehicle purchases, YOY.\n\n> Increased Customer Satisfaction Index (CSI) to 93%, well above industry average for Finance and Insurance Department (Moore). Maintained 90+ CSI, 20 years.\n\n> Achieved Ford Motor Credit \xd2Top Five Club\xd3 awards for performance across the Retail Finance, Leasing and Extended Service Policy Divisions (Kribs).\n\n> Elevated Finance Department CSI 12% (Seeger).', u'Finance Manager\nST. LOUIS HONDA - St. Louis, MO\nJanuary 1991 to January 1991\n1991\xd01993', u'Sales Representative / Finance Manager\nSTEPHEN VINCEL HONDA - Ellisville, MO\nJanuary 1988 to January 1988\nRanked #1 in leasing within the state of Missouri, 1992.\n\n> Named to \xd2Honda Council of Sales Leaders\xd3 4 successive years, 1998\xd01991.\n\n> Recognized as \xd2New Car Salesperson of the Year, \xd3 1989 and 1990.\n\n> Achieved \xd2Top Salesperson\xd3 honors 24 of 32 months at Stephen Vincel Honda.\n\n> Promoted to Finance Manager, based on overall performance, 1991.']",[u'in Marketing/Management'],"[u'Southeast Missouri State University Cape Girardeau, MO']",degree_1 : in Marketing/Management
0,https://resumes.indeed.com/resume/4e888fc7bcd1a6cc,"[u""Finance Manager\nROCK CHEVROLET - Grayslake, IL\nMay 2015 to March 2018\n\u2022 Developing relationships with banks\n\u2022 Maximize the finance department's overall profitability and product penetration\n\u2022 Ensure a timely turnaround on all deals and Funding\n\u2022 Maintain a good customer satisfaction\n\u2022 Detail oriented"", u'Sales\nROCK CHEVROLET - Grayslake, IL\nSeptember 2014 to May 2015\n\u2022 Providing an exceptional experience\n\u2022 Negotiating deals with customers\n\u2022 Follow up with customer after the sale\n\u2022 Top performer for 5 consecutive months']","[u'in Resource Automotive', u'', u'']","[u'Finance school Chicago, IL\nJanuary 2016', u'Metea Valley High School Aurora, IL', u'College of DuPage Westmont Center Westmont, IL']","degree_1 : in Resorce Atomotive, degree_2 :  , degree_3 :  "
0,https://resumes.indeed.com/resume/ff5e37f40acf8a73,"[u'Finance Manager\nOOO "" BOMBARDIER TRANSPORTATION"" - Moscow, RU\nOctober 2011 to April 2016\n\u2022 Developed plans, forecasts and budgets in various areas of the enterprise.\n\u2022 Coordinated financial strategic planning, analysis, and reporting for the company.\n\u2022 Performed micro analysis of payroll forecasts at the account, month, and pay roll levels.\n\u2022 Created and maintained company\'s financial statements and reports.\n\u2022 Managed consolidation processes for quarterly forecast and actuals for $20M annual revenue.\n\u2022 Helped establish procedures to control the accounting and finance departments.\n\u2022 Participated in and led various initiatives, including technology and accounting projects.', u'Finance Manager\nOAO ""ALFA-BANK"" - Moscow, RU\nFebruary 2010 to August 2011\n\u2022 Assisted clients with deposits, loans, payroll services, and insurance.\n\u2022 Reviewed, interviewed, and evaluated credit worthiness of more than 300 applicants per month.\n\u2022 Generated 25 new clients every month on average, exceeding monthly quota by 60%.\n\u2022 Guided clients through account creation as well as payments, deposits, and withdrawals.']",[u'MBA in Finance Manager'],"[u'University of Information Management Moscow, RU\nJuly 2014']",degree_1 : MBA in Finance Manager
