,resume,work_exp,edu,univ,education_json
0,https://resumes.indeed.com/resume/96c0877fc05ed573,[u'Recruiter\nUS Security Associates\nDecember 2016 to Present'],[u'Bachelors of Science in Communications'],[u'St. Cloud State University'],degree_1 : Bachelors of Science in Commnications
0,https://resumes.indeed.com/resume/2c0389f6bbe793a5,"[u'Recruiter\nUPWORK\nOctober 2016 to October 2016\nUpwork.com (previously oDesk-Elance) is the largest freelance marketplace in the world. I work directly with Upwork and its enterprise clients.\n\u25cf Currently, I am the sole recruiter for the Operations Department and recruit for all\nits customer-facing roles: Customer Service, Risk Management, Account\nSecurity, among others.\n\u25cf I also recruit seasonally for the Upwork Engineering Team. Roles recruited for are frontend and backend developers, and supporting roles.', u'Recruiter\nEZHOME, Engineering\nAugust 2015 to August 2016\nEzhome is a tech startup gardening company that uses technology as a huge\npart in the delivery of their services\n- I was the sole technical recruiter for the Engineering team at the start, and assisted the Director of Engineering in building a fully remote team of frontend\nand backend engineers, mobile developers, QA testers, scrum and agile\nmasters, product architects, etc.', u""Recruiter\nODESK, Enterprise\nJune 2012 to July 2015\nand Project Manager\n- managed service team on oDesk that exclusively services enterprise clients. The\nteam hires for, onboards and manages each project.\n- I was project manager and recruiter for several large-scale and high-impact\nprojects, namely:\n- Dataminr - a tech company which applies analytics to Twitter to detect\nevents likely to move financial markets. I recruited bilingual data analysts\n- Google Maps, Apple Maps, and TomTom (GPS) - large-scale map\nverification project. I recruited and managed thousands of contractors\nglobally. Technical and non-technical recruiting.\n- Ask.com and Answers.com - Recruited and managed writers and editors\nfor a large -scale content project.\n- Metaweb/Freebase - acquisition of Google; an open, shared database or the world's knowledge. I was lead recruiter for a team that recruited\nthousands of data analysts, globally. Technical and non-technical\nrecruiting."", u'Recruiter\nODESK, Enterprise\nDecember 2009 to June 2012\nengineering team on oDesk that builds tools for enterprise clients (I.E., Google\nMaps) on top of Upwork API. Together with the then CTO (and co-founder of the company), I helped build this team and recruited Python Developers, Ruby on\nRails Developers, UX Designers, Product Architects, Engineers, etc.']",[],[],degree_1 : 
0,https://resumes.indeed.com/resume/e430ff4ca538be92,"[u'Recruiter\nSITE Staffing Inc\nOctober 2014 to Present\nCustomer Service: Managing 7 major accounts, and following up with employees to reduce turnover. Assisting clients with finding the right candidate for various open positions. Utilizing email to effectively communicate with supervisors, managers, and clients. Preparing reports to effectively educate clients on retention and turnover.']","[u'Bachelors in Community Engagement and Education', u'Associates of Arts', u'Diploma']","[u'UW Milwaukee\nMay 2018', u'Milwaukee Area Technical College', u'South Milwaukee High School']","degree_1 : Bachelors in Commnity Engagement and Edcation, degree_2 :  Associates of Arts, degree_3 :  Diploma"
0,https://resumes.indeed.com/resume/dd6f50fb3b102540,[u'Recruiter\nUS Army Military Entrance Processing\nDecember 2016 to Present\nSergeant Jonathan T. Gowans. Cell: (410) 960-0733. Email: Johnathan.t.gowans.mil@mail.mil'],[u'Diploma'],"[u'Saint Frances Academy Baltimore, MD\nSeptember 2012 to June 2016']",degree_1 : Diploma
0,https://resumes.indeed.com/resume/ee1a272d5abe572b,"[u'Recruiter\nMANPOWERGROUP SOLUTIONS\nMay 2013 to March 2018\nTalent Acquisition Partner for Comcast, Creative Channel Services, and KeyBank Accounts. Performs all sourcing and recruitment for permanent, full time and part-time Customer Service Representatives for Comcast and KeyBank and Seasonal Brand Ambassadors for Creative Channel Services. Sources and screens candidates from various job boards and databases. Works with Avature Database, SuccessFactor, Taleo, and BrassRing Applicant Tracking Systems. Preps and schedules candidates for interviews. Prepares and extends offers. Tracks applicants through hiring process using ATS. Achievements include sourcing, screening hard to find candidates and finding new pools of applicants by reaching to various community groups and using LinkedIn, FaceBook and Twitter. Promoted to Staff Recruiter. Won Perfect Call Award and EPPIC award for Passion.', u'Senior Recruiter\nRANDSTAD SOURCE RIGHT\nApril 2011 to September 2012\nSenior Recruiter on the Virtual Recruiter Team and performed all sourcing, recruitment, and placement of Senior and Lead Design Engineers, Finite Element Analysts, Claims Adjusters, and Medical Representatives for GE Energy and Progressive Insurance. Screened candidates For GE Energy in Brass Ring and uploaded names in Avature Database. Qualified additional candidates via LinkedIn, Twitter, Indeed.com and Rig Zone Websites. \u2022Managers selected 70% of submitted candidates for further phone screens. \u2022 Worked with Progressive Insurance Recruiters on hiring campaign for sites around the country. Developed area profile, reviewed 150-200 resumes in Taleo daily. Selected applicants to move to assessment testing \u2022 Took initiative to find new pools of applicants using LinkedIn, Indeed.com, Twitter, and other specialty websites.', u'Senior Recruiter\nHR PERSONNEL SERVICES INC\nMay 2008 to August 2008\nContract Recruiter at Upsher Smith Laboratories, managed the recruiting process for Human Resource Generalists on assignment. Served as liaison between hiring managers and 3rd party vendors. Held frequent meetings with hiring managers and determined hiring needs, developed screening questions, and addressed other requests for candidate qualification. \u2022 Applied new processes and procedures that enhanced communications between hiring managers and vendors. \u2022 Grew client satisfaction with applicants placed and hired 4 candidates in 3 months.', u'Senior Recruiter\nRANDSTAD SOURCE RIGHT\nMay 2007 to April 2008\nSenior Recruiter on the Virtual Team for Honeywell Specialty Materials. Worked on 3 specific projects. Began as a Senior Recruiter on Demand as one of the first recruiters on the new Honeywell Account. Responsible for full lifecycle recruiting to fill open positions at various company sites. Traveled to assigned locations for meetings with management and corporate officers. Completed intake sessions with Hiring Managers and determined needs and strategies. Created behavioral questions, sourced and screened, and presented qualified candidates. Determined requirements and presented offers. Handled 40 open requisitions located around the country. Served as main point-of-contact with Hiring Managers and coordinated with the Virtual staffing teams. Searches included Process Environmental and Reliability Engineers, Production Supervisors, Quality Assurance Chemists, Buyers, and factory workers. Further assigned to Project 80 team and sourced/screened Reliability, Mechanical, Electrical, Chemical, Process, and Safety Engineers for a 3-day hiring event. \u2022 Placed 7 candidates in 3 months and saved $261,000 in agency fees. Candidates included 3 Metallurgical Process Engineers, Environmental and Production Supervisors, an Operations Leader, and a Reliability Engineers. \u2022 Pre-closed 6 Engineering candidates for immediate acceptance of job offers. 4 of 6 the submitted candidates to hiring event received offers.', u'Senior Recruiter\nENTEGEE TECHNICAL GROUP\nAugust 2005 to July 2006\nContract Recruiter at BAE Systems and served as liaison between the company and outside engineering vendors. Openings included Systems, Electrical, Mechanical and Structural Engineers Designers, and Technicians. Conducted full lifecycle recruiting; Interfaced with managers, defined hiring needs and priorities, opened new job requirements, coordinated interviews, negotiated offers and bill rate increases, and generated offer letters or termination paperwork. Planned and held new hire orientation programs. Managed recruiting process at Beckman Coulter for short-term project. Placed Software Engineers, C++, C#, Mechanical Engineers, Operational Scientists, Technical Support Engineers, Quality Engineers, Product Managers, Procurement, and Cost Accountants. Collaborated with managers, determined hiring needs and defined sourcing strategies. Drafted behavioral based prescreens and performed full lifecycle recruiting by sourcing, screening, and sending qualified applicants to management. Tracked applicants through hiring process using Taleo ATS. \u2022 Reduced open requirements from 45 to 10 in 3-months and improved communications between hiring managers and vendor via new methods such as Hot Job List for BAE Systems. \u2022 Hired 6 applicants in 6-months for Beckman Coulter and opened a new account for Entegee Technical Group.', u'Senior Recruiter\nYOH STAFFING INC\nMay 2004 to May 2005\nManaged all North American exempt level searches for GE Commercial Finance Fleet Service.']","[u""Master's Degree in Human Resources in Human Resources"", u'Bachelors of Arts in History in History', u'Certificate']","[u'Keller Graduate School of Management', u'Principia College Elsah, IL', u'North Hennepin Community College Brooklyn Park, MN']","degree_1 : ""Masters Degree in Hman Resorces in Hman Resorces"", degree_2 :  Bachelors of Arts in History in History, degree_3 :  Certificate"
0,https://resumes.indeed.com/resume/2a3583e4a0c97cd0,"[u'Recruiter\nJohn Galt Staffing - Burlington, MA\nJune 2017 to Present\n* Utilizing communication skills when establishing and maintaining relationships among candidates starting with an introductory phone call and continuing with periodic check in calls.\n* Practicing attention to detail when filtering through resumes and finding specific candidates with the skill set described by our end client.\n* Adapting to each individual candidate according to their personality, social skills, as well as other various factors.']","[u""Associate's of Art in Communications in Art"", u'Bachelor of Arts in Communications in Applied Communications']","[u'Moorpark Community College Moorpark, CA\nMarch 2015', u'Merrimack College North Andover, MA']","degree_1 : ""Associates of Art in Commnications in Art"", degree_2 :  Bachelor of Arts in Commnications in Applied Commnications"
0,https://resumes.indeed.com/resume/0364890321431921,"[u'Senior Recruiter\nThe Fountain Group LLC - Tampa, FL\nJune 2013 to Present\nTampa, FL June 2013 - Present\nTFG is a nationwide leader in contingent labor sourcing. It is ranked the 6th fastest growing company by total\nrevenue in the Tampa Bay area. Some of our top clients include: Abbott, AbbVie, Novartis, Bayer, Biogen,\nColgate, Sanofi/Genzyme, Honeywell, ABB, Raytheon, Northrop Grumman, Siemens, Salesforce, Intel, ACS,\nAlly, Diageo, PepsiCo, NBC, and GE.\nSenior Recruiter\n\u2022 Source and fill contract, contract-to-perm, and direct hire positions for Fortune 500 clients across industries such as IT, Engineering, Pharmaceutical, Healthcare, Financial, Business Development, DoD, and Aerospace\n\u2022 Create job postings utilizing tools and sites such as Big Biller, Monster.com, Zip Recruiter, Craigslist and LinkedIn\n\u2022 Use cold calling, industry networking, career sites, resume database, and employee referrals to source the top talent for each requisition assigned\n\u2022 Utilize Boolean Logic to strategically source the most qualified candidates\n\u2022 Provide job placement assistance by counseling applicants on resumes, cover letters, and interview\ntechniques\n\u2022 Work in a call center environment making 60-100+ calls daily to source candidates and meet weekly\nrecruiting goals\n\u2022 Reach out to account managers and client employees to determine the most important qualifications and background for openings in order to recruit more efficiently\n\u2022 Ensure the best talent is submitted to client by using quality control screening process to qualify\ncandidates based on skill set relativity, compensation, location/commute, employment status, work\nauthorization, education, and technically required qualifications\n\u2022 Maintain candidates up to current with the status of the job, schedule interviews with chosen candidates,\ndo post interview follow up and get feedback, extend offers, and always ensure excellent customer\nservice\n\u2022 Maintain an intricate calendar in MS Outlook to give candidates courtesy calls, directions, special\ninstructions, and manager names prior to their interview\n\u2022 Obtain candidate interview feedback, regarding client specific information, job duties, and as needed\nmanager contact information']","[u""Bachelor's in Psychology""]","[u'University of Tampa Tampa, FL\nMay 2013']","degree_1 : ""Bachelors in Psychology"""
0,https://resumes.indeed.com/resume/59c10fe6980072eb,"[u'Technical Recruiter\nFetch Recruiting - Torrance, CA']",[],[],degree_1 : 
0,https://resumes.indeed.com/resume/f349dcc659e0e509,"[u'Recruiter\nSr. Lead Technical Recruiter 0 7 / 2 0 1 6 to Present\nAxcess Professional Staffing - Raleigh, N C\nResponsible for locating and screening potential candidates, Organizing,\nscheduling and conducting interviews, hiring/terminating, placing\ncandidates in appropriate fields and keeping time for each employee\nplaced.\nReestablishing old client contacts as well as creating new client leads.\nAnswer telephones and give information to callers, take messages, or\ntransfer calls to appropriate individuals.\nCreate, maintain, and enter information into databases.\nGreet visitors or callers and handle their inquiries or direct them to the\nappropriate persons according to their needs.\nComplete forms in accordance with company procedures.\nMaintain scheduling and event calendars.\nSchedule and confirm appointments for clients, customers, or supervisors.\nOperate electronic mail systems and coordinate the flow of information,\ninternally or with other organizations.\nSr. Lead Recruiter 0 1 / 2 0 0 4 to 0 1 / 2 0 1 6\nBusiness Plus Inc - Virginia Beach, V A\nRecruit and assist individuals with obtaining their MMD Document, TWIC\ncard, and passport as well as walk them through the application process.\nVisit and assist mariners with various issues ranging from pay, leave time,\nbenefits, and training programs.\nProvide customer service to merchant mariners seeking open positions.\nAssist in the notification to those who have been considered for hire.\nInform applicants of job requirements and job description of various\npositions.\nContact and follow up with potential new hires through their medical\nprocess.\n\nTeam Lead Bank of America - V A\nDemonstrated strong leadership skills through training new hires, and\nplanning various team projects.\nEncouraged team environment through monitoring others, and providing\nvarious team development exercises.\nConsistently exceeded all statistical expectations.\nEpitomize Bank of America in a professional manner by utilizing knowledge\nand experience to provide exceptional customer service.\nAchieved outstanding customer service expertise through an extensive\nknowledge of the business.\n\nSales Manager 0 1 / 2 0 0 0 to 0 1 / 2 0 0 2\nTri-Legant Corp - Virginia Beach, V A\nExhibited consistency in the management of team goals, quotas, revenue\ndevelopment, and statistics.\nProvided exceptional customer service by resolving various customer\nissues and expanding customer knowledge of all products and services.\nConsistently exceeded sales quotas and revenue expectations.\n\nUS Navy - V A']",[u''],[u'Western Illinois University'],degree_1 : 
0,https://resumes.indeed.com/resume/08acc3baa22b2361,"[u'RECRUITER\nMEDICAL STAFFING NETWORK - Towson, MD\nMarch 2017 to Present\n\u2022 Collaborated with the recruiting team to increase healthcare professionals on contract by 35%\n\u2022 Assisted with the inception of the largest client acquisition partnership in the company with the University of Maryland Hospital System\n\u2022 Contributed to team average weekly sales increase of over $25,000\n\u2022 Achieved highest sales week and largest number of employees under contract in branch history\n\u2022 Implemented a training program for new recruiters\n\n\u2022 Utilized various job sourcing websites to identify and reach out to qualified candidates\n\n\u2022 Conducted phone screenings and in person consultations to ensure applicant was competent and prepared\n\n\u2022 Negotiated schedules, wage rates, and other terms and conditions of employment with external staff\n\n\u2022 Managed payroll by monitoring time sheets to insure employees were paid correctly\n\n\u2022 Facilitated the scheduling of per diem employees\n\n\u2022 Performed general customer service activities including answering phones, responding to emails, and handling face-to-face communications']",[u'BACHELOR OF SCIENCE in SOCIOLOGY'],"[u'York College of Pennsylvania York, PA\nMay 2016']",degree_1 : BACHELOR OF SCIENCE in SOCIOLOGY
