,resume,work_exp,edu,univ,education_json
0,https://resumes.indeed.com/resume/4788e535e47b516f,[u'Sales Manager\nAbco'],[u'Bachelor degree'],[u'Alexandrine college'],degree_1 : Bachelor degree
0,https://resumes.indeed.com/resume/9dc9240a276a5f68,"[u'Manager\nWisdom of nature\nFebruary 2017 to February 2018', u'Manager\nShell Gas\nNovember 2011 to November 2016', u'Sales Associate\nXtreme book store\nMarch 2014 to August 2015']",[u'Diploma'],[u'Middleton High School'],degree_1 : Diploma
0,https://resumes.indeed.com/resume/7245170fc8296888,"[u'Sales Manager\nAcousticSheep, LLC - Erie, PA\nMay 2016 to February 2018\n\u2022 Managing and increasing company growth by pursuing channel specific accounts including national accounts in the Consumer Electronics, Airport/Travel, Food/Drug, Health/Wellness, collegiate and other established areas. \u2022 Successful management of special and emerging markets such as OTT, Premium/Incentive, OE, Amazon. \u2022 Managing overall sales growth in specified international regions including Canada, the Americas, Russia, UK, Germany, France, Italy. Strong background in other territories, as well. \u2022 Supporting new and established partners through constant communication and listening to their needs. \u2022 Attending major industry-specific trade shows ie. CES, ASI, The Running Event, etc. Initiating relationships and executing sales through generated lead development at those events and diligent follow up. \u2022 Conducting product trainings, both on-site and via various online video streaming mediums. \u2022 Training and assisting new sales employees on products and procedures. \u2022 Working with rep firms and distributors to help them better understand our product as well as the resources available to help them make the perfect pitch. \u2022 Communicating internally across all applicable departments including marketing, accounting, customer service and the logistics team.', u'Sales\nVerizon Wireless - Meadville, PA\nMarch 2014 to April 2016\nResponsibilities\n\u2022Sales of product and service.\n\u2022Exceed daily, weekly and monthly personal/store goals.\n\u2022Go out of the way to provide excellent customer service.\n\u2022Coach/train new employees.\n\u2022Aid in inventory procedures as well as showroom appearance and marketing strategies.\n\nAccomplishments\n\u2022Sales lead for many months.\n\n\n\nSkills Used\nSales techniques along with passion to excel in customer service on a daily basis. Knowledge and understanding of the business plan put into place to make the company successful. Coaching and training to new employees. ""Lead from the front"" mentality', u'Manager\nLitehouse Pools and Spas\nNovember 2013 to March 2014\nResponsible to meet sales quotas.\n\u2022 Inventory.\n\u2022 Scheduling.\n\u2022 Customer service excellence.\n\u2022 Manage Installation and Service teams.\n\u2022 Day to day retail store operations.', u'Store Manager\nFurniture Row Companies\nSeptember 2010 to November 2013\nLead sales team while engaging in day-to-day operations.\n\u2022 Conduct interviews, Hire and train new employees.\n\u2022 Scheduling.\n\u2022 Inventory.\n\u2022 Coach new and existing employees.\n\u2022 Responsible to meet sales quotas.']",[u'Associates in Computer Science'],"[u'Tri-State Business Institute Erie, PA']",degree_1 : Associates in Compter Science
0,https://resumes.indeed.com/resume/2858d7e1f6843d65,[u'Sales Manager'],[u'College in Graphic design'],"[u'Navarro College Corsicana, TX\nAugust 2011 to December 2012']",degree_1 : College in Graphic design
0,https://resumes.indeed.com/resume/6e5c4b2363ff3dad,"[u'Sales Manager\nLuxottica Sunglass Hut - Philadelphia, PA\nJuly 2017 to Present\nManager of retail sales team. Focused on achieving sales goals for the store and delivering a high level of customer service. Responsible for day to day operations of the store including training, scheduling, inventory, and merchandising.', u""Operations Manager\nDick's Sporting Goods\nAugust 2008 to July 2017\n\u2022 Increased department sales by 5-10% for the last 4 years\n\n\u2022 Loss prevention - trained staff on proper procedures - decreased departmental loss\n\n\u2022 Manages associates in day to day responsibilities including providing a consistently high level of customer service, accomplishing sales goals, maintaining appropriate mix of inventory and organized presentation of merchandise\n\n\u2022 Handles escalated customer complaints and provides resolutions\n\n\u2022 Creates work schedules to provide proper coverage for department\n\n\u2022 Provides (sales) deliverables / reports to store and district management\n\n\u2022 Improved inventory management by training associates on proper procedures, following through with quarterly audits.""]",[u'Associate of Science'],[u'The Art Institute of Philadelphia\nJanuary 2007'],degree_1 : Associate of Science
0,https://resumes.indeed.com/resume/2a777bfc754fb13f,"[u'Sales Manager/General Manager\nCustomize zone\nMarch 2017 to October 2017\nI was the cashier, inventory receiver, sales personnel, customer service provider']",[u'High school or equivalent (enrolled)'],[u'Clovis West High School'],degree_1 : High school or eqivalent (enrolled)
0,https://resumes.indeed.com/resume/430842ad6899b19d,"[u'Sales Manager\nFUCCILLO KIA - Merritt Island, FL\nJanuary 2016 to Present\nFuccillo dealerships sell new and used vehicles and market a complete line of aftermarket automotive products and services. Fuccillo operates 30 franchises in 2 states.\n\nSALES MANAGER\nConstant and continual customer interaction from the greeting to the close. Implement sales long and short-team objectives; oversee and control daily operations, policy implementation, advertising/procure, profitability and strategic direction. Initiate cost controls to ensure profitability. Recruit, hire and motivate staff, evaluate overall and individual performance, and devise and implement proactive sales training process. Establish department goals with management team, which are based on exceeding the trust, respect and demand the highest ethical standards from staff and management.', u'Sales Manager/General Manager\nPLANTATION FORD - Fort Lauderdale, FL\nJanuary 2004 to January 2016\nFort Lauderdale, Florida 2004 - 2016\nPlantation Ford is a family owned franchise that is deeply rooted in the community and is an industry leader in customer retention in sales and service.']",[u'Certification in Finance'],"[u'DALE CARNEGIE Fort Lauderdale, FL']",degree_1 : Certification in Finance
0,https://resumes.indeed.com/resume/75e7bf1062bf901d,"[u""Sales Manager\nDC Group, Inc. - Minneapolis, MN\nStrong track record of setting and exceeding sales goals in the school marketplace, the communications industry, and the back-up power business.\n\nFive Years to August 2012: DC Group, Inc., Minneapolis, MN\nSales Executive, Sales Trainer and Sales Manager/Back-Up Power Industry/Corporate\n\nDuring my tenure, DC Group's revenue grew from 5 M to 18 M, and the sales department grew from one sales executive and a marketing director, to 17 sales executives and 3 support staff.\n\nAchievements:\n\u2022 Closed recurring service contracts for Uninterruptible Power Supply equipment in the 30K to 250K range for clients who had never heard of DC Group until I called on them:\no Oracle, BSNF, Citigroup and Deluxe Corporation to name a few.\n\u2022 96% of my customers have renewed.\n\u2022 The clients I brought in were responsible for 13% of DC Group revenues in 2011.\n\u2022 Averaged $35,000 per month in sales.\n\nTen Years: AT&T Business Services, Southern, CA and Minneapolis, MN\nAccount Executive - Voice LD, Toll Free and Local Service/Corporate\n\nDeveloped, negotiated, closed, implemented and life cycle managed network services for an assigned group of large corporate accounts for five years in Orange and Los Angeles Counties in Southern California and for five years in Minneapolis, Minnesota.\n\nAchievements:\n\u2022 Exceeded quota every year in Southern California and in Minnesota\n\u2022 Had the highest renewal rate in Southern California\n\u2022 Grew my annual revenue base from 16 M to 17M in Minneapolis with such clients as Xcel Energy, St. Jude Medical, Target Corporation, SuperValu, and Pentair Inc.\n\u2022 Recipient of several RVP awards and product specific sales achievement awards\n\nTen Years: Encyclopaedia Britannic Educational Corporation (EBEC), Oregon and Southern CA\nSales Executive - Multimedia Curriculum Products/Schools, Districts and County Level\n\nAchievements:\n\u2022 Exceeded quota every year\n\u2022 Placed in annual top five nationally every year and number one regionally one year\n\u2022 Won every annual award trip (Caribbean cruises, Mexico trips, London)\n\nFive Years: Lotsa Blocks, MN\nOwner - Children's building blocks based on the golden rectangle/School Age Child Care\n\nAchievements:\n\u2022 Designed and nationally distributed sets of small blocks packaged by the hundreds\n\u2022 Developed clever marketing campaigns that garnered free TV coverage in metro markets""]","[u'Liberal Arts', u'in Piano']","[u""College of St. Benedict/St. John's University Collegeville, MN"", u'St. Paul']","degree_1 : Liberal Arts, degree_2 :  in Piano"
0,https://resumes.indeed.com/resume/0e7781d562b4d56e,[u'Sales Manager'],[u'Associate- current in Criminal Justice'],"[u'Saint Louis Community College Saint Louis County, MO\nAugust 2016 to May 2018']",degree_1 : Associate- crrent in Criminal Jstice
0,https://resumes.indeed.com/resume/d1b4f6d189541f97,"[u'Sales Associate\nClinton Township, MI\nAugust 2016 to Present', u'Manager\nI.C tamer Inc - New Baltimore, MI\nJune 2015 to Present\nQuality inspector I.C tamer inc\n-monitoring and auditing of products to ensure high standards of quality\n-responsible to generate and disseminate all data and information to the mangament\nstructar.', u'Manager\nJanuary 2014 to June 2015\nResponsible for safe cash and daily deposits, training of staff and crew, waste and cost.']","[u'Diploma in Radiologic Technology', u'']","[u'Macomb Community College Macomb, MI\nJanuary 2016 to Present', u'Koudes High School\nJanuary 2002 to January 2007']","degree_1 : Diploma in Radiologic Technology, degree_2 :  "
