,resume,work_exp,edu,univ,education_json
0,https://resumes.indeed.com/resume/8348d85e0abc26b6,"[u'Architect\nBaghdad, IQ\nOctober 2010 to November 2014\n\u2022 Reviewing project goals and objectives with the project manager and design team.\n\u2022 Coordinating with segment leaders to promote architectural goals and design concepts.\n\u2022 Mentoring less experienced architects and trained architectural personnel.\n\u2022 Creating, printing and modified drawings in AutoCAD.\n\u2022 Communicating with all other vendors and contractors and incorporating their input into project designs.\n\u2022 Consulting with clients to determine functional and spatial requirements of the new structure.\n\nOrganization', u'Intern Architect\nIraqi Engineers Union - Baghdad, IQ\nMay 2010 to November 2014']",[u'Bachelor of Science in Architecture'],"[u'University of Technology Baghdad, IQ\nJanuary 2010']",degree_1 : Bachelor of Science in Architectre
0,https://resumes.indeed.com/resume/9ffa765ab23cbedd,"[u'Junior Architect\nThe GRID - Ar. Snehal Suthar - Ahmedabad, Gujarat\nOctober 2009 to March 2010\nInstitutional (Large Scale) and Landscape projects:\n\n- School of Achievers at Kudasan, Gandhinagar\n- Traffic Island for J W.Mariott ( Courtyard) Group, Ahmedabad\n- Clubhouse for Leisure Homes at Aloha, Gandhinagar- Mahudi Highway\n\nTasks:\n- Design and design development\n- Working drawings, Presentation and\nSanction drawings\n- Interior designing\n- Site supervision\n- Coordinating with various agencies\n\nResidential /Interior projects/Housing:\n- Residence for Mr. Pravin Ratilal, Ahmedabad\n- Weekend House for Mr. Amrish Vyas, Koba, Gandhinagar\n- Interiors of Banquet Halls for Courtyard, Hotel J.W. Mariott, Ahmedabad\n- Shalin Otium High Rise Appartments, Ahmedabad\n- Sangath Skyz Studio Appartment, Chandkheda', u""Apprenticeship - Trainee\nAmin and Shah Associates - Ahmedabad, Gujarat\nJune 2007 to November 2007\nInstitutional projects:\nComputer Centre and Lab building for the St. Xavier's Society, Ahmedabad\nRedesigning the Auditorium of National Institute of Co-operative\nManagement, Gandhinagar\n\nTasks:\n- Conceptual design\n- Design and development\n- Presentation drawings and Working drawings\n\nHousing/Residential projects:\n\n- Conceptual Layout of Residential colony for Nirma Ltd., Bhavnagar\n- Residence for Mr. Balvant Patel, Ahmedabad\n- Residence for Mr. Rajendra Shah, Ahmedabad""]","[u'Masters in Arts Journalism in Architecture', u'Bachelors in Architecture in Architecture', u'Higher Secondary School in Jazz Festival', u'High School']","[u'Centre for Environmental Planning and Tecnology (C.E.P.T) Ahmedabad, Gujarat\nJanuary 2010 to January 2012', u'Indubhai Parekh School of Architecture (I.P.S.A) Rajkot, Gujarat\nJanuary 2003 to January 2009', u""St. Xavier's High Scool Gandhinagar, Gujarat\nJanuary 2001 to January 2003"", u'Mt. Carmel High School Gandhinagar, Gujarat\nJanuary 1989 to January 2001']","degree_1 : Masters in Arts Jornalism in Architectre, degree_2 :  Bachelors in Architectre in Architectre, degree_3 :  Higher Secondary School in Jazz Festival, degree_4 :  High School"
0,https://resumes.indeed.com/resume/489aac469500e145,"[u'Junior Pega Architect\nECase Solutions, Inc\nJanuary 2016 to Present\nSupport the implementation of various Pega applications including Data Pages, Reports and User Interface.']",[u'Bachelor of Science in Computer Engineering'],"[u'University of Central Florida Orlando, FL\nMay 2020']",degree_1 : Bachelor of Science in Compter Engineering
0,https://resumes.indeed.com/resume/d155415edad86c94,[u'Graduate Architect\nBullock Tice Associates\nJanuary 2016 to Present\nGovernment Projects\nPlanning\nCollect and analyze manning data to inform space requirements'],"[u'BS in Math/Stats', u'in Design']","[u'University of Florida', u'University of West Florida']","degree_1 : BS in Math/Stats, degree_2 :  in Design"
0,https://resumes.indeed.com/resume/ee0b45cf3dcd7e27,"[u'Senior Architect/Senior Project Manager\nGordon Prill - Sunnyvale, CA\nJanuary 2015 to Present\n\u2022 Responsible for design and oversight of architectural part of various technical projects\n\u2022 Attend client meetings and provide/assist with interpretation of applicable codes and regulations\n\u2022 Obtain building permits and negotiate plan review comments\n\u2022 Provide architectural support to engineers and construction managers on projects including design-build\n\u2022 Prepare and participate in proposals preparation, scheduling, quality control, change orders negotiation\n\u2022 Lead a project team for successful, timely project delivery and project close out', u'Principal Architect\nKK Architects - Sunnyvale, CA\nJanuary 2009 to January 2015\n\u2022 Responsible for primary client contact, proposals, projects acquisition, code analyses\n\u2022 Design and project management\n\u2022 Agencies coordination, consultant negotiation and coordination\n\u2022 Project schedule and delivery, budgeting, quality control, construction documents preparation\n\u2022 Construction management, change orders, submittals and problem resolution', u'Project Architect/Project Manager\nWHL Architects - Sunnyvale, CA\nJanuary 2001 to January 2009\n\u2022 Responsible for overall project monitoring, oversight of construction documents production\n\u2022 Construction administration, consultant coordination, code analysis\n\u2022 Conceptual and schematic design, project delivery and close-out\n\nPh. (408) 431-2964\n\nNOTABLE PROJECTS\n\u2022 Lockheed Martin, Sunnyvale, CA\nConstruction Documents Relocate Building 141 to Building 153, various projects in Sunnyvale and Palo Alto\ncampus, including Design Build projects and tools/equipment installations.\n\u2022 Space Systems Loral, Palo Alto, CA\nConstruction documents for Building 1: 1st, 2nd and 3rd floor densification Tenant Improvements.\n\u2022 SLAC National Accelerator Laboratory and US Department of Energy, Menlo Park, CA\nQuality Control Manager for new Cryogenic Building and infrastructure project at LCLS.\nQuality Control Manager for B950 renovation and LINAC, CP-2 infrastructure replacement.\n\u2022 Stanford University, Palo Alto, CA\nAllen Building: Student Prototype Facility (SPF): a place to use and share expertise; nurture innovation; build\nefficient, specialized electronics without expertise. ExFab wet and dry experimental and research labs.\nPeterson Building: D-School and WEIS Lab.\n\u2022 Monolithic Power Systems, San Jose, CA\nConstruction documents for 10,000 SF multi-purpose room, lobby, break room and conference rooms\nrenovation Tenant Improvements.\n\u2022 UC Santa Cruz, Santa Cruz, CA\nVarious projects including Research/Development labs, Experimental Laser labs, and Wet/Dry labs.\n\u2022 Alergan, Campbell, CA\nConstruction documents for 7,500 SF additions for a new clean room and R&D labs suite.\n\u2022 DDI Global, Milpitas, CA\nConstruction documents for DES (Development/Etching/Striping) manufacturing line installation.\n\u2022 Sunnyvale Imaging Center, Sunnyvale, CA\nInstallation of Open MRI, High field MRI, Digital X-Ray, DEXA (bone density), EMG/NCS (electromyography /\nnerve conduction study) equipment in a new imaging facility.\n\u2022 Bloom Reach, Mt. View, CA\nFacility master planning, construction documents and construction administration for 25,000 SF office\ntenant improvements.\n\u2022 Relectric, San Jose, CA\nConstruction Documents for 2-story 25,000 SF office tenant improvements and warehouse storage facility.\n\u2022 Intarcia Therapeutics, Hayward, CA\nConstruction documents and construction administration for 40,000 sf manufacturing facility and 20,000 sf\noffice tenant improvements and interior design.\n\u2022 Medimmune, LLC, Santa Clara, CA\nSchematic design, owner coordination, construction documents and construction administration for 50,000\nSF ISO 7 and 8 clean rooms, and egg-plant pilot area for viral vaccine development.\n\u2022 AngioScore, Fremont, CA\nConstruction Documents and Construction Administration for 25,000 SF clean rooms, labs, offices,\nconference rooms and dining room.\n\u2022 Solyndra Inc, Fremont, CA\nWorked on various projects for tools installation, R&D laboratories, dining cafeteria and offices.\n\u2022 Avago Technologies, Santa Clara, CA\n50,000 SF Tenant Improvement, including R&D shield rooms, laboratories, office interior design.\nConstruction Documents for 110,000 SF Clean Room and the adjacent Labs.\n\u2022 Western Digital, Fremont, CA\nConstruction documents for 10,000 SF clean rooms, 16,000 SF additions for clean room expansion, cafeteria and dining area.\n\nPh. (408) 431-2964', u'Project Architect\nDepartment of Public Works - Pago Pago, AS\nJanuary 1999 to January 2001', u'Project Architect\nGMA Architects - Apia, WS\nJanuary 1997 to January 2001', u'Architect\nCDA - Auckland City, Auckland\nJanuary 1996 to January 1997', u'Architect\nRitzau Architects and Town Planners - Harare, ZW\nJanuary 1994 to January 1996', u'Architect\nCity of Harare, City Architects Division\nJanuary 1991 to January 1994', u'Architect\nSofProject - Sofia, BG\nJanuary 1990 to January 1991']",[u'Master in Arch'],[u'University of Architecture\nJanuary 1990'],degree_1 : Master in Arch
0,https://resumes.indeed.com/resume/14b58053ed995c52,"[u'PROJ ECT MANAGER\nPintacasa, C.A, Venezolana\nJanuary 2013 to January 2016\nMaster Specialist Franchise. Pintacasa, C.A, Venezolana de\nPinturas. 24 franchises Pintacasa projects, 22 renovations, 12 building construction at the country.\nValencia, Carabobo.', u'PROJ ECT CONSTRUCTION MANAGER\nArquinter, C.A. Work\nJanuary 2013 to January 2013\nManagement, coordinating and logistic onsite\nsupervisor. Arquinter, C.A. Work: BBVA Banco Provincial, CC Los Jarales. Supervision of finishes,\nProject: BBVA Banco Provincial Avenida Bol\xedvar. Valencia. Carabobo.', u'PROJ ECT CONSTRUCTION MANAGER\nM.P.D Master Proyecto y Desarrollos C.A. Project\nJanuary 2010 to January 2012\nManagement, execution and supervisor of the building construction. M.P.D Master Proyecto y Desarrollos C.A. Project: The Venezuelan\nInstitute of Social Insurance, Puerto Ordaz. Edo. Bolivar.', u'SENIOR ARCHITECT\nC.A. Fertilizer plant Moron. PDVSA - Amuay\nJanuary 2010 to January 2010\nResidential family housing projects Multifamily, projects of industrial\ndesigner, inspection, supervision of finishes. J.A.T, C.A. Fertilizer plant Moron. PDVSA - Amuay.\nMoron, Carabobo.', u'ARCHITECT\nGrupo Ferrara C.A\nJanuary 2010 to January 2010\nDirection and management. Kitchen designer. Grupo Ferrara C.A, Valencia,\nCarabobo.', u'SENIOR ARCHITECT\nGrupo Fernandez\nJanuary 2009 to January 2009\nDesign and Interior remodeling, hotel facilities. Grupo Fernandez\nC.A, Valencia, Carabobo.', u'Architect manager of lighting and interiorism\nACTUALLY\nJanuary 2008 to January 2008\nManagement, execution and supervisor of the building finishes construction. Architect manager of lighting and interiorism\nproject. Projects: hotels, houses, buildings, stores.']","[u'in postproduction and animation', u'in Architecture']","[u""Escola Professional d'aplicacions informatiques\nJanuary 2013"", u'Universidad de los Andes ULA\nJanuary 2008']","degree_1 : in postprodction and animation, degree_2 :  in Architectre"
0,https://resumes.indeed.com/resume/7cd4ebee7432fd92,"[u'Architect Intern\nRon Vari & Associates\nMay 2017 to August 2017\nHad the responsibility of elevations, sections, plans, and rendered views of\n\nand submitting permit sets and other necessary documents\npermit and construction approval.\nVisited construction sites for inspection.']","[u'Bachelor of Science', u'Bachelor of Science in Journalism']","[u'University of Illinois at Chicago, School of Architecture and Design Chicago, IL\nJanuary 2014 to January 2018', u'Roosevelt University, School of Liberal Arts Chicago, IL\nJanuary 2013 to January 2014']","degree_1 : Bachelor of Science, degree_2 :  Bachelor of Science in Jornalism"
0,https://resumes.indeed.com/resume/175e794769f78aa3,"[u'Designer\nGensler\nJune 2015 to August 2016\nLos Angeles, CA', u'Senior Associate\nHollywood, CA\nJanuary 2005 to January 2015', u'Architect\nTVS - Atlanta, GA\nJanuary 2002 to January 2004', u'Architect\nCooper - Atlanta, GA\nJanuary 2001 to January 2002', u'Architect\nSRSS - Atlanta, GA\nJanuary 1998 to January 1999']","[u""Master's in Architecture"", u'Bachelor in Architecture']","[u'Southern California Institute of Architecture Los Angeles, CA\nJanuary 1999 to January 2001', u'Univ of Maryland College Park, MD\nJanuary 1992 to January 1996']","degree_1 : ""Masters in Architectre"", degree_2 :  Bachelor in Architectre"
0,https://resumes.indeed.com/resume/0711d299d96af12f,"[u'Landscape Architect, Owner/Operator\nDESIGN TECHNICS LANDSCAPE ARCHITECTS, INC\nNovember 1993 to Present\nLandscape architectural services for residential and commercial clients including client contact, preparation of proposals, schematic design development, master plan development, planting plans, lighting plans, irrigation plans, grading and drainage plans, construction documents, graphic presentations, perspectives, photography, and project coordination and implementation - provide contract bids, team selection, scheduling and supervision of project construction from start to finish - www.designtechnics.com', u'Landscape Architect, Project Manager\nHARTWIG, WILLIS & ASSOCIATES - Jacksonville, FL\nMarch 1984 to November 1993\nClient contact, schematic design development, irrigation and lighting design, construction documents, graphic presentations, perspectives, photography and, project coordination', u'Landscape Architect\nKINMAN ASSOCIATES, INC - Dublin, OH\nJuly 1983 to March 1984\nSchematic design development, irrigation and lighting design, construction documents, graphic presentation, perspectives, photography and project coordination\n\nREGISTRATION\nFLORIDA #1171\nCLARB CERTIFIED #3442\nCDL CLASS A - L-250-290-57-404-0']","[u'B.S. in Landscape Architecture', u'in Biology / Landscape Architecture']","[u'Ohio State University\nJanuary 1980 to January 1983', u'University of Georgia\nJanuary 1976 to January 1979']","degree_1 : B.S. in Landscape Architectre, degree_2 :  in Biology / Landscape Architectre"
0,https://resumes.indeed.com/resume/e4fcd49e990ca37f,"[u'Architect intern\nPalenzuela & Hevia Design Group - Miami, FL\nFebruary 2015 to June 2015']","[u'MA in Architecture', u'AA in Architecture']","[u'Florida International University Miami, FL\nJanuary 2014 to January 2017', u'Valencia College Orlando, FL\nJanuary 2012 to January 2014']","degree_1 : MA in Architectre, degree_2 :  AA in Architectre"
